index,Date,Team,xG,xA,xPTS,match_or_not
8,22/01/2022,West Ham,0.24,1.76,0.15,1
9,22/01/2022,Leeds,1.13,1.16,1.34,1
0,23/01/2022,Liverpool,1.50,1.63,1.23,1
1,23/01/2022,Chelsea,1.04,0.33,2.00,1
2,23/01/2022,Leicester,1.71,1.20,1.80,1
3,23/01/2022,Brighton,1.20,1.71,0.93,1
4,23/01/2022,Arsenal,1.36,0.39,2.17,1
5,23/01/2022,Burnley,0.39,1.36,0.56,1
6,23/01/2022,Crystal Palace,1.63,1.50,1.48,1
7,23/01/2022,Tottenham,0.33,1.04,0.67,1
0,05/02/2022,Watford,0.93,0.77,1.48,1
1,05/02/2022,Burnley,0.77,0.93,1.18,1
0,08/02/2022,Newcastle United,2.69,0.82,2.62,1
1,08/02/2022,West Ham,0.91,0.34,1.96,1
2,08/02/2022,Manchester United,1.83,0.77,2.18,1
3,08/02/2022,Burnley,0.77,1.83,0.59,1
4,08/02/2022,Watford,0.34,0.91,0.68,1
5,08/02/2022,Everton,0.82,2.69,0.25,1
0,09/02/2022,Manchester City,1.98,0.46,2.55,1
1,09/02/2022,Southampton,1.73,1.74,1.34,1
2,09/02/2022,Aston Villa,1.50,2.53,0.65,1
3,09/02/2022,Leeds,2.53,1.50,2.14,1
4,09/02/2022,Crystal Palace,1.23,0.30,2.34,1
5,09/02/2022,Norwich,0.30,1.23,0.41,1
6,09/02/2022,Tottenham,1.74,1.73,1.39,1
7,09/02/2022,Brentford,0.46,1.98,0.29,1
0,10/02/2022,Liverpool,2.73,0.54,2.72,1
1,10/02/2022,Arsenal,1.45,0.64,2.19,1
2,10/02/2022,Wolverhampton Wanderers,0.64,1.45,0.56,1
3,10/02/2022,Leicester,0.54,2.73,0.18,1
0,12/02/2022,Manchester City,4.45,0.36,2.99,1
1,12/02/2022,Everton,2.59,0.24,2.87,1
2,12/02/2022,Brighton,1.80,0.53,2.46,1
3,12/02/2022,Southampton,0.68,2.99,0.14,1
4,12/02/2022,Manchester United,2.99,0.68,2.79,1
5,12/02/2022,Crystal Palace,0.50,1.98,0.28,1
6,12/02/2022,Brentford,1.98,0.50,2.56,1
7,12/02/2022,Watford,0.53,1.80,0.36,1
8,12/02/2022,Leeds,0.24,2.59,0.08,1
9,12/02/2022,Norwich,0.36,4.45,0.01,1
0,13/02/2022,Wolverhampton Wanderers,1.87,0.84,2.25,1
1,13/02/2022,Newcastle United,0.53,0.46,1.34,1
2,13/02/2022,Liverpool,1.96,1.16,2.12,1
3,13/02/2022,Leicester,1.41,0.75,1.95,1
4,13/02/2022,West Ham,0.75,1.41,0.76,1
5,13/02/2022,Aston Villa,0.46,0.53,1.19,1
6,13/02/2022,Burnley,1.16,1.96,0.61,1
7,13/02/2022,Tottenham,0.84,1.87,0.54,1
0,15/02/2022,Manchester United,2.75,1.26,2.32,1
1,15/02/2022,Brighton,1.26,2.75,0.50,1
0,19/02/2022,Burnley,0.82,0.45,1.70,1
1,19/02/2022,Liverpool,3.15,0.67,2.75,1
2,19/02/2022,Southampton,2.73,0.20,2.89,1
3,19/02/2022,Tottenham,2.00,2.32,1.17,1
4,19/02/2022,Arsenal,1.52,0.64,2.07,1
5,19/02/2022,Chelsea,1.12,0.62,1.84,1
6,19/02/2022,Watford,1.82,1.03,2.05,1
7,19/02/2022,West Ham,0.85,0.93,1.24,1
8,19/02/2022,Newcastle United,0.93,0.85,1.43,1
9,19/02/2022,Manchester City,2.32,2.00,1.58,1
10,19/02/2022,Brentford,0.64,1.52,0.66,1
11,19/02/2022,Aston Villa,1.03,1.82,0.71,1
12,19/02/2022,Crystal Palace,0.62,1.12,0.84,1
13,19/02/2022,Norwich,0.67,3.15,0.17,1
14,19/02/2022,Everton,0.20,2.73,0.07,1
15,19/02/2022,Brighton,0.45,0.82,0.91,1
0,20/02/2022,Manchester United,2.61,1.74,1.98,1
1,20/02/2022,Wolverhampton Wanderers,0.47,1.55,0.41,1
2,20/02/2022,Leicester,1.55,0.47,2.39,1
3,20/02/2022,Leeds,1.74,2.61,0.81,1
0,23/02/2022,Liverpool,5.33,0.14,3.00,1
1,23/02/2022,Crystal Palace,0.82,1.72,0.60,1
2,23/02/2022,Burnley,1.56,0.69,2.15,1
3,23/02/2022,Tottenham,0.69,1.56,0.61,1
4,23/02/2022,Watford,1.72,0.82,2.17,1
5,23/02/2022,Leeds,0.14,5.33,0.00,1
0,24/02/2022,Arsenal,2.51,1.11,2.28,1
1,24/02/2022,Wolverhampton Wanderers,1.11,2.51,0.54,1
0,25/02/2022,Southampton,3.09,0.42,2.86,1
1,25/02/2022,Norwich,0.42,3.09,0.08,1
0,26/02/2022,Tottenham,2.47,1.90,1.77,1
1,26/02/2022,Aston Villa,1.30,0.63,2.01,1
2,26/02/2022,Newcastle United,2.25,0.49,2.55,1
3,26/02/2022,Manchester City,1.93,0.77,2.35,1
4,26/02/2022,Crystal Palace,1.04,0.26,2.14,1
5,26/02/2022,Burnley,0.26,1.04,0.55,1
6,26/02/2022,Manchester United,2.41,0.44,2.68,1
7,26/02/2022,Watford,0.44,2.41,0.21,1
8,26/02/2022,Everton,0.77,1.93,0.45,1
9,26/02/2022,Brighton,0.63,1.30,0.70,1
10,26/02/2022,Brentford,0.49,2.25,0.30,1
11,26/02/2022,Leeds,1.90,2.47,1.01,1
0,27/02/2022,West Ham,1.62,0.89,1.99,1
1,27/02/2022,Wolverhampton Wanderers,0.89,1.62,0.75,1
0,01/03/2022,Leicester,1.80,1.04,1.94,1
1,01/03/2022,Burnley,1.04,1.80,0.81,1
0,05/03/2022,Aston Villa,2.85,1.33,2.35,1
1,05/03/2022,Chelsea,2.29,0.85,2.53,1
2,05/03/2022,Brentford,2.22,0.77,2.50,1
3,05/03/2022,Crystal Palace,2.54,0.71,2.72,1
4,05/03/2022,Newcastle United,1.58,1.65,1.30,1
5,05/03/2022,Leicester,0.36,2.14,0.24,1
6,05/03/2022,Liverpool,2.19,1.34,1.98,1
7,05/03/2022,Brighton,1.65,1.58,1.40,1
8,05/03/2022,West Ham,1.34,2.19,0.80,1
9,05/03/2022,Leeds,2.14,0.36,2.63,1
10,05/03/2022,Norwich,0.77,2.22,0.34,1
11,05/03/2022,Wolverhampton Wanderers,0.71,2.54,0.18,1
12,05/03/2022,Southampton,1.33,2.85,0.49,1
13,05/03/2022,Burnley,0.85,2.29,0.30,1
0,06/03/2022,Manchester City,2.74,0.36,2.82,1
1,06/03/2022,Arsenal,1.00,1.30,1.13,1
2,06/03/2022,Watford,1.30,1.00,1.59,1
3,06/03/2022,Manchester United,0.36,2.74,0.11,1
0,07/03/2022,Tottenham,3.24,0.21,2.93,1
1,07/03/2022,Everton,0.21,3.24,0.04,1
0,10/03/2022,Wolverhampton Wanderers,1.55,0.50,2.26,1
1,10/03/2022,Aston Villa,1.27,0.19,2.29,1
2,10/03/2022,Chelsea,2.13,0.97,2.23,1
3,10/03/2022,Newcastle United,0.81,1.80,0.59,1
4,10/03/2022,Southampton,1.80,0.81,2.19,1
5,10/03/2022,Norwich,0.97,2.13,0.54,1
6,10/03/2022,Leeds,0.19,1.27,0.43,1
7,10/03/2022,Watford,0.50,1.55,0.51,1
0,12/03/2022,Liverpool,2.48,0.63,2.60,1
1,12/03/2022,Brentford,1.82,0.83,2.20,1
2,12/03/2022,Manchester United,1.02,1.62,0.83,1
3,12/03/2022,Tottenham,1.62,1.02,1.89,1
4,12/03/2022,Burnley,0.83,1.82,0.57,1
5,12/03/2022,Brighton,0.63,2.48,0.27,1
0,13/03/2022,Arsenal,2.94,0.55,2.79,1
1,13/03/2022,West Ham,1.58,1.05,1.82,1
2,13/03/2022,Watford,1.29,1.26,1.36,1
3,13/03/2022,Leeds,3.12,1.40,2.53,1
4,13/03/2022,Chelsea,1.07,0.25,2.20,1
5,13/03/2022,Wolverhampton Wanderers,0.71,0.40,1.60,1
6,13/03/2022,Aston Villa,1.05,1.58,0.90,1
7,13/03/2022,Southampton,1.26,1.29,1.34,1
8,13/03/2022,Norwich,1.40,3.12,0.34,1
9,13/03/2022,Everton,0.40,0.71,0.98,1
10,13/03/2022,Newcastle United,0.25,1.07,0.51,1
11,13/03/2022,Leicester,0.55,2.94,0.13,1
0,14/03/2022,Crystal Palace,0.47,2.04,0.30,1
1,14/03/2022,Manchester City,2.04,0.47,2.55,1
0,16/03/2022,Tottenham,2.05,1.04,2.08,1
1,16/03/2022,Liverpool,1.28,0.53,2.12,1
2,16/03/2022,Arsenal,0.53,1.28,0.58,1
3,16/03/2022,Brighton,1.04,2.05,0.70,1
0,17/03/2022,Everton,0.71,0.76,1.29,1
1,17/03/2022,Newcastle United,0.76,0.71,1.33,1
0,18/03/2022,Leeds,2.82,1.24,2.41,1
1,18/03/2022,Wolverhampton Wanderers,1.24,2.82,0.43,1
0,19/03/2022,Arsenal,1.15,0.31,2.20,1
1,19/03/2022,Aston Villa,0.31,1.15,0.52,1
0,20/03/2022,Tottenham,2.55,0.64,2.62,1
1,20/03/2022,Leicester,1.28,1.72,1.01,1
2,20/03/2022,Brentford,1.72,1.28,1.73,1
3,20/03/2022,West Ham,0.64,2.55,0.26,1
0,02/04/2022,Brentford,2.43,1.29,2.14,1
1,02/04/2022,Liverpool,2.24,0.75,2.47,1
2,02/04/2022,Manchester City,1.62,0.06,2.65,1
3,02/04/2022,Wolverhampton Wanderers,1.62,1.91,1.13,1
4,02/04/2022,Southampton,2.06,1.51,1.83,1
5,02/04/2022,Leicester,1.08,0.90,1.49,1
6,02/04/2022,Manchester United,0.90,1.08,1.18,1
7,02/04/2022,Leeds,1.51,2.06,0.91,1
8,02/04/2022,Norwich,0.49,2.38,0.22,1
9,02/04/2022,Brighton,2.38,0.49,2.66,1
10,02/04/2022,Aston Villa,1.91,1.62,1.59,1
11,02/04/2022,Watford,0.75,2.24,0.36,1
12,02/04/2022,Burnley,0.06,1.62,0.19,1
13,02/04/2022,Chelsea,1.29,2.43,0.67,1
0,03/04/2022,Tottenham,3.61,0.54,2.89,1
1,03/04/2022,West Ham,1.50,0.66,2.12,1
2,03/04/2022,Everton,0.66,1.50,0.63,1
3,03/04/2022,Newcastle United,0.54,3.61,0.07,1
0,04/04/2022,Crystal Palace,1.40,1.05,1.68,1
1,04/04/2022,Arsenal,1.05,1.40,1.02,1
0,06/04/2022,Burnley,2.24,2.32,1.31,1
1,06/04/2022,Everton,2.32,2.24,1.41,1
0,08/04/2022,Newcastle United,1.44,0.31,2.46,1
1,08/04/2022,Wolverhampton Wanderers,0.31,1.44,0.34,1
0,09/04/2022,Chelsea,4.40,0.56,2.97,1
1,09/04/2022,Tottenham,0.98,1.49,0.97,1
2,09/04/2022,Leeds,0.90,1.07,1.11,1
3,09/04/2022,Brighton,0.60,2.35,0.26,1
4,09/04/2022,Everton,0.36,0.76,0.87,1
5,09/04/2022,Arsenal,2.35,0.60,2.60,1
6,09/04/2022,Manchester United,0.76,0.36,1.73,1
7,09/04/2022,Watford,1.07,0.90,1.54,1
8,09/04/2022,Aston Villa,1.49,0.98,1.75,1
9,09/04/2022,Southampton,0.56,4.40,0.02,1
0,10/04/2022,Norwich,1.67,1.45,1.53,1
1,10/04/2022,Brentford,1.86,0.24,2.65,1
2,10/04/2022,Leicester,0.88,1.53,0.78,1
3,10/04/2022,Liverpool,1.30,1.35,1.35,1
4,10/04/2022,Manchester City,1.35,1.30,1.36,1
5,10/04/2022,Crystal Palace,1.53,0.88,1.94,1
6,10/04/2022,West Ham,0.24,1.86,0.22,1
7,10/04/2022,Burnley,1.45,1.67,1.19,1
0,16/04/2022,Manchester United,1.67,1.80,1.29,1
1,16/04/2022,Brentford,2.12,1.50,1.87,1
2,16/04/2022,Southampton,1.04,1.35,1.14,1
3,16/04/2022,Brighton,0.71,0.59,1.41,1
4,16/04/2022,Norwich,1.80,1.67,1.46,1
5,16/04/2022,Watford,1.50,2.12,0.87,1
6,16/04/2022,Tottenham,0.59,0.71,1.18,1
7,16/04/2022,Arsenal,1.35,1.04,1.55,1
0,17/04/2022,Newcastle United,2.54,0.54,2.77,1
1,17/04/2022,West Ham,2.79,1.88,2.07,1
2,17/04/2022,Burnley,1.88,2.79,0.70,1
3,17/04/2022,Leicester,0.54,2.54,0.15,1
0,19/04/2022,Liverpool,2.26,0.11,2.82,1
1,19/04/2022,Manchester United,0.11,2.26,0.10,1
0,20/04/2022,Manchester City,1.53,0.12,2.53,1
1,20/04/2022,Arsenal,1.87,0.59,2.39,1
2,20/04/2022,Newcastle United,0.77,0.43,1.63,1
3,20/04/2022,Everton,1.69,0.79,2.12,1
4,20/04/2022,Leicester,0.79,1.69,0.64,1
5,20/04/2022,Crystal Palace,0.43,0.77,0.97,1
6,20/04/2022,Chelsea,0.59,1.87,0.43,1
7,20/04/2022,Brighton,0.12,1.53,0.27,1
0,21/04/2022,Burnley,2.15,1.32,1.98,1
1,21/04/2022,Southampton,1.32,2.15,0.79,1
0,23/04/2022,Manchester City,3.68,0.43,2.93,1
1,23/04/2022,Newcastle United,1.88,0.66,2.35,1
2,23/04/2022,Arsenal,2.54,2.04,1.78,1
3,23/04/2022,Aston Villa,0.59,0.24,1.65,1
4,23/04/2022,Leicester,0.24,0.59,0.86,1
5,23/04/2022,Tottenham,0.52,1.32,0.68,1
6,23/04/2022,Brentford,1.32,0.52,2.04,1
7,23/04/2022,Manchester United,2.04,2.54,0.97,1
8,23/04/2022,Norwich,0.66,1.88,0.45,1
9,23/04/2022,Watford,0.43,3.68,0.04,1
0,24/04/2022,Liverpool,1.70,0.42,2.40,1
1,24/04/2022,Chelsea,2.35,0.39,2.70,1
2,24/04/2022,Burnley,1.27,0.59,2.00,1
3,24/04/2022,Southampton,0.93,1.87,0.53,1
4,24/04/2022,Brighton,1.87,0.93,2.27,1
5,24/04/2022,West Ham,0.39,2.35,0.19,1
6,24/04/2022,Wolverhampton Wanderers,0.59,1.27,0.72,1
7,24/04/2022,Everton,0.42,1.70,0.40,1
0,25/04/2022,Crystal Palace,1.62,0.37,2.40,1
1,25/04/2022,Leeds,0.37,1.62,0.40,1
0,28/04/2022,Chelsea,2.47,0.62,2.61,1
1,28/04/2022,Manchester United,0.62,2.47,0.27,1
0,30/04/2022,Manchester City,3.01,1.04,2.58,1
1,30/04/2022,Brighton,2.91,0.53,2.82,1
2,30/04/2022,Aston Villa,2.31,0.35,2.67,1
3,30/04/2022,Crystal Palace,0.76,0.65,1.40,1
4,30/04/2022,Burnley,1.37,0.79,1.85,1
5,30/04/2022,Liverpool,2.73,0.12,2.95,1
6,30/04/2022,Southampton,0.65,0.76,1.23,1
7,30/04/2022,Watford,0.79,1.37,0.87,1
8,30/04/2022,Newcastle United,0.12,2.73,0.03,1
9,30/04/2022,Norwich,0.35,2.31,0.21,1
10,30/04/2022,Wolverhampton Wanderers,0.53,2.91,0.12,1
11,30/04/2022,Leeds,1.04,3.01,0.30,1
0,01/05/2022,Tottenham,1.65,0.27,2.47,1
1,01/05/2022,Arsenal,0.96,0.45,1.79,1
2,01/05/2022,Everton,1.12,1.21,1.26,1
3,01/05/2022,West Ham,0.45,0.96,0.86,1
4,01/05/2022,Chelsea,1.21,1.12,1.43,1
5,01/05/2022,Leicester,0.27,1.65,0.34,1
0,02/05/2022,Manchester United,1.84,0.68,2.36,1
1,02/05/2022,Brentford,0.68,1.84,0.44,1
0,07/05/2022,Brighton,2.83,0.93,2.66,1
1,07/05/2022,Brentford,3.68,0.99,2.79,1
2,07/05/2022,Aston Villa,1.81,1.31,1.75,1
3,07/05/2022,Crystal Palace,2.49,0.26,2.84,1
4,07/05/2022,Chelsea,1.82,1.68,1.49,1
5,07/05/2022,Wolverhampton Wanderers,1.68,1.82,1.25,1
6,07/05/2022,Tottenham,0.98,1.05,1.33,1
7,07/05/2022,Liverpool,1.05,0.98,1.35,1
8,07/05/2022,Watford,0.26,2.49,0.09,1
9,07/05/2022,Burnley,1.31,1.81,0.97,1
10,07/05/2022,Southampton,0.99,3.68,0.14,1
11,07/05/2022,Manchester United,0.93,2.83,0.23,1
0,08/05/2022,Manchester City,4.06,1.00,2.88,1
1,08/05/2022,West Ham,3.26,0.78,2.87,1
2,08/05/2022,Everton,1.56,1.47,1.44,1
3,08/05/2022,Arsenal,2.72,0.70,2.67,1
4,08/05/2022,Leicester,1.47,1.56,1.28,1
5,08/05/2022,Leeds,0.70,2.72,0.22,1
6,08/05/2022,Norwich,0.78,3.26,0.08,1
7,08/05/2022,Newcastle United,1.00,4.06,0.08,1
0,10/05/2022,Liverpool,1.75,1.45,1.59,1
1,10/05/2022,Aston Villa,1.45,1.75,1.08,1
0,11/05/2022,Manchester City,3.39,0.41,2.91,1
1,11/05/2022,Leicester,2.57,1.22,2.30,1
2,11/05/2022,Chelsea,1.47,0.50,2.12,1
3,11/05/2022,Everton,0.81,0.23,1.90,1
4,11/05/2022,Watford,0.23,0.81,0.69,1
5,11/05/2022,Norwich,1.22,2.57,0.51,1
6,11/05/2022,Leeds,0.50,1.47,0.61,1
7,11/05/2022,Wolverhampton Wanderers,0.41,3.39,0.05,1
0,12/05/2022,Tottenham,3.43,0.39,2.91,1
1,12/05/2022,Arsenal,0.39,3.43,0.05,1
0,15/05/2022,Leicester,2.27,2.59,1.18,1
1,15/05/2022,Brentford,1.82,2.70,0.77,1
2,15/05/2022,Tottenham,2.39,0.63,2.60,1
3,15/05/2022,West Ham,1.01,2.15,0.57,1
4,15/05/2022,Manchester City,2.15,1.01,2.22,1
5,15/05/2022,Aston Villa,0.80,1.39,0.74,1
6,15/05/2022,Crystal Palace,1.39,0.80,1.96,1
7,15/05/2022,Norwich,1.53,1.00,1.80,1
8,15/05/2022,Brighton,2.26,2.22,1.41,1
9,15/05/2022,Wolverhampton Wanderers,1.00,1.53,0.92,1
10,15/05/2022,Leeds,2.22,2.26,1.36,1
11,15/05/2022,Everton,2.70,1.82,2.03,1
12,15/05/2022,Burnley,0.63,2.39,0.27,1
13,15/05/2022,Watford,2.59,2.27,1.59,1
0,16/05/2022,Newcastle United,1.68,0.49,2.33,1
1,16/05/2022,Arsenal,0.49,1.68,0.46,1
0,17/05/2022,Liverpool,1.19,0.12,2.30,1
1,17/05/2022,Southampton,0.12,1.19,0.40,1
0,19/05/2022,Everton,0.81,1.60,0.61,1
1,19/05/2022,Aston Villa,1.00,1.63,0.77,1
2,19/05/2022,Leicester,0.04,1.62,0.18,1
3,19/05/2022,Chelsea,1.62,0.04,2.66,1
4,19/05/2022,Burnley,1.63,1.00,1.99,1
5,19/05/2022,Crystal Palace,1.60,0.81,2.13,1
0,22/05/2022,Tottenham,3.81,0.31,2.96,1
1,22/05/2022,Arsenal,4.36,1.09,2.92,1
2,22/05/2022,Leicester,3.42,1.05,2.79,1
3,22/05/2022,Liverpool,3.19,1.12,2.61,1
4,22/05/2022,Brighton,1.68,0.27,2.49,1
5,22/05/2022,Manchester City,3.32,0.25,2.95,1
6,22/05/2022,Chelsea,2.59,0.58,2.68,1
7,22/05/2022,Newcastle United,1.74,1.49,1.57,1
8,22/05/2022,Leeds,1.48,0.84,1.95,1
9,22/05/2022,Crystal Palace,0.35,0.78,0.84,1
10,22/05/2022,Aston Villa,0.25,3.32,0.03,1
11,22/05/2022,Watford,0.58,2.59,0.22,1
12,22/05/2022,Burnley,1.49,1.74,1.13,1
13,22/05/2022,Brentford,0.84,1.48,0.78,1
14,22/05/2022,Manchester United,0.78,0.35,1.75,1
15,22/05/2022,West Ham,0.27,1.68,0.32,1
16,22/05/2022,Wolverhampton Wanderers,1.12,3.19,0.28,1
17,22/05/2022,Southampton,1.05,3.42,0.14,1
18,22/05/2022,Everton,1.09,4.36,0.05,1
19,22/05/2022,Norwich,0.31,3.81,0.02,1
0,23/05/2022,Tottenham,3.81,0.31,2.96,1
1,23/05/2022,Arsenal,4.36,1.09,2.92,1
2,23/05/2022,Leicester,3.42,1.05,2.79,1
3,23/05/2022,Liverpool,3.19,1.12,2.61,1
4,23/05/2022,Brighton,1.68,0.27,2.49,1
5,23/05/2022,Manchester City,3.32,0.25,2.95,1
6,23/05/2022,Chelsea,2.59,0.58,2.68,1
7,23/05/2022,Newcastle United,1.74,1.49,1.57,1
8,23/05/2022,Leeds,1.48,0.84,1.95,1
9,23/05/2022,Crystal Palace,0.35,0.78,0.84,1
10,23/05/2022,Aston Villa,0.25,3.32,0.03,1
11,23/05/2022,Watford,0.58,2.59,0.22,1
12,23/05/2022,Burnley,1.49,1.74,1.13,1
13,23/05/2022,Brentford,0.84,1.48,0.78,1
14,23/05/2022,Manchester United,0.78,0.35,1.75,1
15,23/05/2022,West Ham,0.27,1.68,0.32,1
16,23/05/2022,Wolverhampton Wanderers,1.12,3.19,0.28,1
17,23/05/2022,Southampton,1.05,3.42,0.14,1
18,23/05/2022,Everton,1.09,4.36,0.05,1
19,23/05/2022,Norwich,0.31,3.81,0.02,1
